"price","number_of_reviews","host_total_listings_count","bedrooms","minimum_nights","accommodates","price_level"
412,618,1,2,3,3,"High"
16,162,6,1,2,2,"Low"
53,130,3,1,30,3,"Low"
353,117,2,1,3,3,"High"
33,19,1,1,30,2,"Low"
40,54,6,1,2,4,"Low"
250,39,5,4,4,10,"Medium"
23,93,1,1,2,2,"Low"
23,7,3,1,31,2,"Low"
292,65,17,1,30,2,"Medium"
98,258,2,3,1,6,"Medium"
279,68,17,1,30,1,"Medium"
20,286,3,1,2,2,"Low"
23,155,2,1,1,4,"Low"
395,82,5,1,3,2,"High"
401,31,4,2,4,4,"High"
28,87,3,1,7,4,"Low"
305,48,5,1,31,1,"Medium"
389,107,11,6,2,14,"High"
346,133,2,2,3,3,"High"
425,49,4,1,30,2,"High"
412,239,11,1,2,2,"High"
378,114,3,1,2,1,"High"
378,48,3,1,30,1,"High"
378,45,3,1,2,1,"High"
305,58,17,1,30,2,"Medium"
329,420,3,1,5,1,"Medium"
338,41,1,1,6,1,"High"
333,39,32,1,30,3,"Medium"
189,14,6,3,2,8,"Medium"
71,47,1,2,5,5,"Medium"
406,387,3,1,2,2,"High"
287,34,2,1,30,2,"Medium"
99,358,11,1,1,2,"Medium"
395,146,2,1,30,2,"High"
433,358,1,1,2,4,"High"
38,205,1,1,3,2,"Low"
98,105,3,3,3,6,"Medium"
425,218,11,1,2,2,"High"
412,282,11,1,2,2,"High"
35,152,2,2,3,5,"Low"
228,228,2,4,3,10,"Medium"
305,40,5,1,31,1,"Medium"
353,106,11,1,31,1,"High"
353,101,11,1,31,1,"High"
213,155,8,3,30,4,"Medium"
329,277,1,2,3,3,"Medium"
38,216,1,1,2,4,"Low"
250,25,2,2,2,5,"Medium"
395,446,4,1,3,2,"High"
303,40,5,4,2,8,"Medium"
41,337,3,1,2,2,"Low"
431,301,5,1,2,2,"High"
32,130,2,1,2,4,"Low"
371,16,2,2,7,6,"High"
43,66,1,1,4,3,"Low"
